publisher,year,market_share_pct
Atlus,2011,0.17737896494156935
Atlus,2012,1.061157412841883
Atlus,2013,0.29723570791637755
Atlus,2014,0.3010348071495768
Atlus,2015,0.3299183886091337
Atlus,2016,0.47317712787184296
Atlus,2017,1.4328887036265103
Atlus,2018,0.6217896728845633
Atlus,2019,8.23529411764706
Avalon Interactive,1982,0.3005126392080607
Avalon Interactive,1983,0.45297095656807895
Avalon Interactive,1999,0.03205333675235592
Avalon Interactive,2002,0.011805817907064598
Avalon Interactive,2003,0.009893398629764297
Avalon Interactive,2004,0.027052617340727714
Avanquest,2007,0.08144699030319792
Avanquest,2008,0.02549377415199656
Avanquest,2009,0.12472802361517256
Avanquest,2010,0.11778743192804263
Avanquest,2011,0.08868948247078468
Avanquest,2016,0.02280371700587195
Avanquest Software,2012,0.3873694095551124
Avanquest Software,2013,0.0024769642326364794
Avanquest Software,2014,0.008063432334363664
Avanquest Software,2015,0.013891300573016154
Axela,1998,0.08573094201159079
BAM! Entertainment,2000,0.045992390349960284
BAM! Entertainment,2001,0.33912556053811654
BAM! Entertainment,2002,0.7390442009822439
BAM! Entertainment,2003,0.17808117533575737
BAM! Entertainment,2004,0.06988592813021327
BMG Interactive Entertainment,1996,0.12297882031427919
BMG Interactive Entertainment,1997,0.1491255818157169
BMG Interactive Entertainment,1998,0.1988957854668906
BPS,1991,0.948429164196799
BPS,1994,0.20521239482864762
Badland Games,2017,0.0416840350145894
Badland Studio,2016,0.017102787754403964
Bandai,1986,2.5836614173228347
Bandai,1991,0.978067575577949
Bandai,1994,2.2060332444079616
