publisher,year,publisher_global_sales,game_count,avg_sales_per_game,platform_count,genre_count,year_total_sales,market_share_pct,publisher_rank_in_year
Agetec,2003,0.8,5,0.16,1,4,404.3099999999997,0.19786797259528593,40
Agetec,2005,0.27,4,0.0675,2,2,509.8899999999998,0.052952597619094335,52
Agetec,2006,0.18,1,0.18,1,1,556.3399999999995,0.032354315706222846,62
Agetec,2007,0.18,3,0.06,1,2,650.7300000000002,0.02766124198976533,81
Agetec,2008,0.05,2,0.025,2,2,745.2800000000001,0.006708887934735937,138
Agetec,2009,0.56,2,0.28,2,2,721.5699999999994,0.0776085480272185,71
Aksys Games,2008,0.12000000000000001,4,0.03,3,4,745.2800000000001,0.01610133104336625,113
Aksys Games,2009,0.39,4,0.0975,3,3,721.5699999999994,0.05404881023324145,79
Aksys Games,2010,1.05,6,0.175,3,4,653.7199999999998,0.16061922535642176,42
Aksys Games,2011,0.5900000000000001,4,0.14750000000000002,3,2,575.0399999999997,0.1026015581524764,63
Aksys Games,2012,0.49,5,0.098,4,4,425.9499999999997,0.11503697617091216,36
Aksys Games,2013,0.09,3,0.030000000000000002,3,3,403.7200000000002,0.022292678093728317,57
Aksys Games,2014,0.7100000000000002,10,0.07100000000000001,2,6,372.04999999999984,0.19083456524660675,32
