appid,steam_name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,median_forever,price,initialprice,discount,ccu,genres,tags,languages,release_date,windows,mac,linux
4258920,Burn Out,Overwork Studio,Overwork Studio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|4|28|2,597|599|1697|4791|4845|4136|12472|9|19|6730|4840|1685|1773|7178|16689|4191|4562|4195|4305|4094,NA,NA,FALSE,FALSE,FALSE
4259190,Kingdom Rush 6: Genesis TD,Ironhide Game Studio,Ironhide Game Studio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|23|2,9|1645|7250|4195|4305|6815|10679|492|1643|4182|4562|19|3871|4172|1684|7332|1723|7481|1738,NA,NA,TRUE,TRUE,FALSE
4259820,Call Me,Sour Sugar,Sour Sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29|3,4486|3959|15172|5711|6426|4175|1687|1714|4166|1662|5186|5372|1775|6730|1759|17305|122|3839|1721|1667,NA,NA,TRUE,FALSE,FALSE
4260540,Sacred Angel Crossnia Heart,ShiBoo!,Saikey Studios,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3|28,12095|9130|1773|3799|3834|7208|4747|6426|3871|4305|4726|3942|24904|599|5611|4085|122|4325|1671|4106,NA,NA,FALSE,FALSE,FALSE
4260590,Imagine We Were Human: A Vine Moss Compilation,Vine Moss Games,pklwrks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4|23,11014|3799|4305|6815|4252|492|15277|4166|5984|5608|5186|5673|597|3871|4947|1710|15172|7250|1742|4195,NA,NA,TRUE,TRUE,FALSE
4269170,Dragon's Egg,Daydream Gallery,Daydream Gallery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23|3|2,122|1084988|8945|6730|5125|1759|10695|6276|3964|15172|7481|3993|9|1720|3959|12057|3920|4325|5711|1742,NA,NA,TRUE,TRUE,FALSE
4269660,Gravezone Arena,eXPresso Softworks,eXPresso Softworks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|25|23,21|19|3835|4004|492|1659|3993|7250|6730|4325|4182|1774|1716|42804|3959|3871|3964|6691|4342|1667,NA,NA,TRUE,FALSE,FALSE
4269720,Die Severed,Philip Markowski,Philip Markowski,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|23|28|2,3959|1716|1721|19|1664|32322|599|4166|5186|4182|1091588|4345|16250|1667|4342|4191|3839|7556|9|1710,NA,NA,TRUE,FALSE,FALSE
4270020,Survival Quest Dungeons and the Beasts,David Lewis Bell,David Lewis Bell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|25|3,21|122|4182|4231|1646|4191|3839|3920|1702|19|1695,NA,NA,TRUE,FALSE,FALSE
4271930,Space Pirates,whynomakethings,whynomakethings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1|4|23,19|1755|4182|492|5711|11104|4195|3942|1773|15045|4291|597|3993|6730|4191|7481,NA,NA,TRUE,FALSE,FALSE
