publisher,year,publisher_global_sales,game_count,avg_sales_per_game,platform_count,genre_count,source_url,year_total_sales,market_share_pct,publisher_rank_in_year
Acclaim Entertainment,1995,4.3,17,0.2529411764705882,4,5,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,109.02,3.944230416437351,5
Acclaim Entertainment,1996,4.13,21,0.19666666666666666,2,7,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,219.55,1.8811204736961966,10
Acclaim Entertainment,1997,5.1000000000000005,12,0.425,2,8,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,221.29,2.304668082606535,11
Acclaim Entertainment,1998,14.08,25,0.5632,2,7,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,291.61,4.828366654092795,5
Acclaim Entertainment,1999,7.79,20,0.3895,2,7,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,311.98,2.496954933008526,8
Acclaim Entertainment,2000,6.47,18,0.35944444444444446,4,6,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,239.17,2.7051887778567547,11
Acclaim Entertainment,2001,9.92,26,0.38153846153846155,5,4,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,356.8,2.780269058295964,9
Acclaim Entertainment,2002,7.76,34,0.22823529411764706,4,7,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,423.52,1.8322629391764262,17
Acclaim Entertainment,2003,4.66,28,0.16642857142857143,4,5,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,404.31,1.1525809403675398,18
Acclaim Entertainment,2004,1.6,10,0.16,3,5,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,443.58,0.3607015645430362,29
Accolade,1996,0.19,1,0.19,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,219.55,0.08654065133227055,61
Accolade,1997,1.34,2,0.67,1,2,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,221.29,0.6055402413123051,32
Accolade,1998,1.3,1,1.3,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,291.61,0.44580089846027227,25
Accolade,1999,0.19,1,0.19,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,311.98,0.06090133982947624,65
Accolade,2017,0.05,1,0.05,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,191.92,0.026052521884118385,80
Ackkstudios,2009,0.07,1,0.07,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,721.57,0.009701068503402304,135
Ackkstudios,2010,0.11,1,0.11,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,653.72,0.01682677598972037,108
Ackkstudios,2011,0.41000000000000003,2,0.20500000000000002,2,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,575.04,0.07129938786867002,67
Ackkstudios,2012,0.25,6,0.041666666666666664,3,4,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,425.95,0.05869233478107759,48
Acquire,2006,0.05,1,0.05,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,556.34,0.008987309918395225,92
Acquire,2008,0.14,1,0.14,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,745.28,0.01878488621726063,104
Acquire,2009,0.1,3,0.03333333333333333,2,2,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,721.57,0.013858669290574718,118
Acquire,2010,0.22,3,0.07333333333333333,2,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,653.72,0.03365355197944074,84
Acquire,2011,0.3,4,0.075,3,3,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,575.04,0.05217028380634391,80
Acquire,2012,0.26,3,0.08666666666666667,1,2,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,425.95,0.061040028172320696,47
Acquire,2014,0.11,1,0.11,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,372.05,0.029565918559333423,56
Acquire,2015,0.01,1,0.01,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,287.95,0.0034728251432540372,98
Acquire,2017,0.01,1,0.01,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,191.92,0.005210504376823677,104
Activision,1980,3.53,6,0.5883333333333334,1,4,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,12.36,28.559870550161815,2
Activision,1981,10.48,9,1.1644444444444444,1,5,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,43.11,24.309904894456043,2
Activision,1982,5.470000000000001,8,0.6837500000000001,1,4,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,56.57,9.669436096871134,2
Activision,1983,4.17,7,0.5957142857142858,1,4,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,37.53,11.11111111111111,3
Activision,1984,0.27,1,0.27,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,54.24999999999999,0.4976958525345623,6
Activision,1985,0.48,2,0.24,2,2,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,54.760000000000005,0.8765522279035791,5
Activision,1986,0.03,1,0.03,1,1,https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,40.64,0.07381889763779527,8
Activision,1987,1.12,2,0.56,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv,24.36,4.597701149425288,6
Activision,1988,1.22,3,0.4066666666666667,1,2,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,53.43,2.2833614074489987,6
Activision,1989,0.71,2,0.355,1,1,https://raw.githubusercontent.com/andvise/DataAnalyticsDatasets/main/vgsales.csv | https://raw.githubusercontent.com/Bredmak/vgchartz-sales-analysis/main/vgchartz-2024.csv,76.77,0.9248404324605967,9
